题目,朝代,作者,内容
行路难七首 其五,元末明初,郭翼,蹙蹙靡所骋，出自城北门。顾瞻荒丘中，郁郁蹲石麟。石阙字漫漫，不知何代贵者坟。形骸已灭魑魅迹，物化尽为狐兔尘。吁嗟汉家陵阙荒无主，青山落日秦川下。犹闻樗里有智人，天子之宫夹其墓。今日休论智与愚，昔人意气复何如？愿借飘飖丹凤舄，与子鍊形入云墟。
行路难七首 其六,元末明初,郭翼,庭前芳树花参差，岁岁争新满旧枝。开白开红接芳叶，撩乱二月三月时。昔日美人颜似花，看花暮去朝复来。红夹罗襦泫香露，青天白日春风吹。而今零落少颜色，见花惋惋含悲思。百年何人得长好，叹息谓君君不知。
行路难七首 其七,元末明初,郭翼,君不见流水泯泯去不还，日月搅搅曾无闲。人生长苦死催促，富贵早来开我颜。饮酒饮不多，直爱美人扬美歌。即今受乐亦已晚，过眼百年能几何？
和李长吉马诗十二首 其七,元末明初,郭翼,神骏如无匹，骁腾绝域来。流沙一丈雪，夜拂白龙堆。
和李长吉马诗十二首 其八,元末明初,郭翼,天子飞黄马，牵来赐近臣。玉阶新雨过，风衮落花尘。
和李长吉马诗十二首 其九,元末明初,郭翼,内厩玉花骢，斑斑喷肉騣。奚官新浴罢，沙苑踏春风。
和李长吉马诗十二首 其十,元末明初,郭翼,佛郎通上国，万里进龙媒。晓日开阊阖，虹光射玉台。
和李长吉马诗十二首 其十一,元末明初,郭翼,天马谁能驭，和鸾驾紫微。年年清暑去，霹雳逐龙飞。
绝句六首 其三,元末明初,郭翼,高桃花发江林里，蝶弄莺衔四散飞。便开金盏留连看，莫放青春造次归。
绝句六首 其四,元末明初,郭翼,可惜清明雨也晴，好春须看水东亭。桃花如马斑斑色，杨柳藏鸦树树青。
绝句六首 其五,元末明初,郭翼,芣苢新生盖地面，辛夷高开满上头。生憎雨恶兼风恶，转益朝愁复暮愁。
绝句六首 其六,元末明初,郭翼,雨多二月连正月，草没南园与北园。一向无情花片片，百般如怨鸟言言。
无题和袁子英四首 其四,元末明初,郭翼,紫殿长杨满路尘，骊山荒草没麒麟。伶玄作传追飞燕，李白歌辞忤太真。舞袖夜虚金掌月，香囊魂坠紫丝茵。可怜倾国倾城曲，一度秋风一怆神。
寄青龙瞿惠夫博士,元末明初,郭翼,醉眠亭上追游日，为惜高情对物华。草港斗飞花鸭雨，竹沙深映白鹇罝。丛丛山影侵云直，一一人家落路斜。近报风流多著作，门生若个是侯芭。
送卢公武应召北上,元末明初,郭翼,前朝图史已全收，诏起丘园重纂修。一道同风遵礼乐，大书特笔法《春秋》。金壶墨泻朝挥洒，银烛花消夜校雠。进卷内廷承顾问，鹄袍端立殿西头。
城南草堂与顾仲瑛夜话,元末明初,郭翼,花发草堂风雨春，青灯剪韭话情亲。乱离隔世今何夕，生死论交更几人。城郭是非华表鹤，蓬莱清浅海中尘。三千宾客冯驩在，莫怪伤歌舞剑频。
和顾子达见寄,元末明初,郭翼,江上去年来避寇，无家归路转凄迷。桃花柳絮当三月，瘴雨蛮烟似五溪。直见荒台麋鹿走，可怜无树凤凰栖。读书支子桥边宅，瓦砾伤心暗蒺藜。
水阁书事寄郑明斋,元末明初,郭翼,方桥匼匝小如亭，山色倾江滃滃青。雨里芭蕉怜画扇，花间鹦鹉惜金屏。谁传鸿宝中篇术，自写《黄庭外景经》。练水东头三十里，何人识得伍乔星。
拟杜陵秋兴八首 其三,元末明初,郭翼,海门八月雨清霜，可怪残雷未肯藏。虹蜺断江将雨映，鴐鹅背日与风翔。罗含自老黄花宅，裴度重来绿野堂。衰暮闭门怀故旧，岂因吹笛满山阳。
拟杜陵秋兴八首 其四,元末明初,郭翼,巍巍北斗夜阑干，盛世无忧行路难。转粟帆樯辽海阔，舞阶干羽䝤夷安。黄河正道流应复，白月空江卧独看。愿借双飞珠树鹤，清游一接凤池翰。
拟杜陵秋兴八首 其六,元末明初,郭翼,江上青山接甬东，离离禾黍馆娃宫。芙蓉旧苑长洲里，麋鹿荒台落照中。银海雁飞沉夜月，金茎露冷濯秋空。可怜萧瑟江关暮，词客哀吟思不穷。
拟杜陵秋兴八首 其八,元末明初,郭翼,落日江南发棹歌，楚王宫庙郁嵯峨。雨经巫峡朝云湿，木落洞庭秋水多。璧月银河空复在，玉箫金管奈愁何。只今文藻悲迁客，何处波涛吊汨罗。
桓王墓,元末明初,郭翼,客行古城下，下有桓王墓。古城多秋草，牛羊下来暮。
湘弦曲,元末明初,郭翼,竹啼非染露，山暝乃疑云。灵瑟传神语，休令帝子闻。
漫兴九首 其一,元末明初,郭翼,瞿卢袁陆思清警，要我题诗来鹤亭。月下吹笙看舞影，竹中移栅护霜翎。
漫兴九首 其二,元末明初,郭翼,广平梅词吐清婉，惠连《雪赋》映婵娟。况有文章兼二美，吕家亭子得无传。
漫兴九首 其三,元末明初,郭翼,白云满地如白石，明月窥江来近人。最忆荥阳好兄弟，著霜柿叶写诗新。
漫兴九首 其四,元末明初,郭翼,淮泗大水断禾黍，闻道居人巢树头。汉武曾闻歌《瓠子》，老翁更儗赋《黄楼》。
漫兴九首 其五,元末明初,郭翼,城南市中有楚客，醉卧高楼看月生。两儿共扶不肯下，紫箫吹度到天明。
漫兴九首 其六,元末明初,郭翼,侧闻朝家置史馆，须得班马出群材。揭公已老欧阳死，近者何堪为总裁。
漫兴九首 其七,元末明初,郭翼,北山一士禅宗秀，烂漫交情只忆渠。每与王郎传诅楚，不同怀素学狂书。
漫兴九首 其八,元末明初,郭翼,永嘉为儒有陈子，更思文雅得曹髯。麟趾凤毛不复见，龙文虎脊有谁兼。
漫兴九首 其九,元末明初,郭翼,江上十月风日好，小桃欲开春可怜。绝胜龙沙三尺雪，雕弓射雁拂庐前。
廉夫自沧江过顾仲瑛桃源作诗以寄并柬玉山,元末明初,瞿智,老铁仙人海上来，海云长日护楼台。玉箫彩凤时时下，黄鹤珠帘面面开。不逐蟾娥归月府，却冯华使过蓬莱。见说武陵重有约，一溪流水似天台。
简熊松云,元末明初,瞿智,西冈无奈景纯何，陶写新诗日渐多。宜似兰苕飞翡翠，每嗟荆棘长铜驼。日曛山崦收黄雾，秋入江风动白波。复忆松云老文学，醉乘箫凤肯相过。
追和龙洲先生登多景楼诗就题其墓,元末明初,郭翼,黄鹤矶头风雨秋，中原一望使人愁。东江风雨一斗酒，大地山河百尺楼。群臣谁决和戎议，九庙犹衔误国羞。慷慨鲁连宁入海，凄凉王粲重登楼。荒冈四尺先生墓，再拜酬之双玉舟。
题倪元镇春林远岫图四首 其三,元末明初,郯韶,十日春寒早闭门，风风雨雨怕黄昏。小斋坐对黄金鸭，寂寞沈香火自温。
题倪元镇春林远岫图四首 其四,元末明初,郯韶,春寒时节病头风，惆怅年华逝水同。世事总如春梦里，雨声浑在杏花中。
题赵魏公画,元末明初,郯韶,汉家宫阙画蒿莱，烟雨苍茫护石苔。惟有金河旧时雁，年年秋色过江来。
龙门山中即事,元末明初,郯韶,雷雨过厓惊落湍，空林白昼忽生寒。阴阴草阁开尊坐，细细山云卷幔看。落日樵声经木末，青天鸟道挂檐端。亦知吏隐非吾事，直欲从兹赋《考槃》。
寄范叔豹,元末明初,郯韶,江上霜寒木叶彫，忆君何处思迢迢。长年旅食同秋雁，故里风烟隔暮潮。甚欲寄书酬远别，绝怜把烛待清宵。双溪月色凉如水，谁采琼芳慰寂寥。
次韵聂茂宣见贻就简陆伯渊,元末明初,郯韶,扬雄宅里曾相识，甫里祠前会面时。白日过门应问字，青春别墅只围棋。隔溪水涨桃花屋，深巷鸡鸣桑树枝。甚欲相从二三子，篝灯细雨共谈诗。
虎丘,元末明初,郯韶,春草青青绕阖庐，山深石径转崎岖。空闻落日腾金虎，无复三泉閟玉凫。陆羽井深春雨歇，生公石在白云孤。伤心莫问鱼肠剑，怨逐秋声上辘轳。
过女儿浦,元末明初,郯韶,浦口寒烟生白波，蘋花风急棹舟过。人家一路青山下，只有秋田落雁多。
倪元镇画,元末明初,郯韶,玄馆夏初度，青林暑气中。开轩对流水，坐石待薰风。花落葛巾侧，鸟鸣山几空。经锄者谁子？散发奏丝桐。
题胡廷晖画,元末明初,郯韶,仙馆空青里，春船罨画中。鸥波千丈雪，渔笛一丝风。
题倪元镇画二首 其一,元末明初,郯韶,断霭生春树，微茫隔远汀。梁溪新月上，照见惠山青。
题倪元镇画二首 其二,元末明初,郯韶,高江新水生，微月流云度。美人胡不知，相思隔春树。
衡门书事二首 其一,元末明初,郯韶,风雨衡茅深复深，朝来隐几独长吟。正怜静里耽诗癖，忽喜门前有足音。爨下焦桐弹《别鹤》，箧中茧纸写来禽。南山千古悠然意，惆怅何人识此心。
衡门书事二首 其二,元末明初,郯韶,门巷青苔积雨深，林花落尽一莺吟。高情不鼓《南薰》调，长日只闻流水音。涧底青丝牵弱荇，窗前碧色护来禽。莫嫌身外求名远，自是幽居惬素心。
题女真猎骑图二首 其一,元末明初,郯韶,白草原头闻雁声，黄沙碛里马蹄轻。举头忽见边城月，倒著丝鞭不肯行。
题女真猎骑图二首 其二,元末明初,郯韶,塞上秋雁白雪飞，溅溅生血洒毛衣。日斜却过轮台下，争看红妆猎骑归。
梧桐士女图,元末明初,郯韶,厌厌微步出深宫，露湿红绡怯晚风。争信长门今夜月，肯分清影照梧桐。
望潮曲,元末明初,郯韶,夕风吹白波，江树摇绿烟。行人望潮水，心与沧溟连。榑桑东来三万里，晓看浴日重渊底。乃知碧海与天通，只隔银河一丝水。美人住在东海头，身轻嫁与千户侯。频年转粟直沽口，樯头夜夜望牵牛。
娄东述怀寄示龙门上人玉山居士,元末明初,邾经,寂寞娄东寺，经过岁暮时。后凋霜柏古，乱点石苔滋。方外尊吾友，龙门得老琦。十年今几遇，早岁故相知。震泽三江入，虹桥五色垂。水西春酒熟，花下晚尊移。联句应题竹，留餐更折葵。那知俱是客，各以业为师。莲社招呼费，茅堂出处卑。也驰支遁马，而向习家池。何物讥臣朔，如人舞怪逵。遂令兄弟急，岂但友生疑。落落情偏好，悠悠事莫期。参商天上路，萍梗海之涯。向忆身犹白，前修道不缁。君攀狮子座，我把桂花枝。吴子非无学，周胥亦有为。龙泉终再合，豹管未容窥。泥滑双扶屐，灯明共弈棋。笑言方款合，交谊更坚持。好客囊羞涩，捐人佩陆离。初筵俄列豆，屡舞竟扬觯。醉揖都轻别，醒吟每重思。优哉聊复尔，舍此欲何之。伐木鸣幽鸟，椷筒寄阿谁。玉山投美璞，珠水照摩尼。为说饶清事，从游尽白眉。载观名胜集，多是故人诗。自笑如张翰，何烦识项斯。江帆风去逆，林馆雨留迟。紫研玄香润，纹窗棐几宜。翔鸾开粉纸，直发引乌丝。燕坐书成癖，穷探字识奇。雄文《毛颖传》，小隶《武梁祠》。韩柳文章在，云龙上下随。两家才并立，千喙语难追。小子真狂简，前贤讵点嗤。百金宁取直，三绝且闻痴。漫与非神品，居然奉令仪。异时倾孔盖，八字读曹碑。回首高飞隼，行歌倒接䍦。剡溪归尽兴，泌水乐忘饥。野阁延疏广，韦编拾散遗。儒冠傲轩冕，农耒力菑畬。明月怀人远，长林鼓瑟悲。平常要久契，翻覆讶群儿。愿把平生意，毋求小有疵。矢心同白水，披腹献丹墀。把袂寒潮上，还家夜雪吹。上人逢顾恺，冯谢拙言词。
营海轩诗,元末明初,邾经,兵后澄江失敝庐，何曾奏策似隋初。丈人旧忆河间渚，营海新题泖上居。翏渎山横遗战垒，松江水近足羹鱼。惯闻地与潮声转，时见龙将雨气嘘。槎路不通星是客，桑田频改日愁予。螺舟莫厌过从数，我亦羁穷欲著书。
题唐伯刚贯月轩,元末明初,邾经,使君文采歘翩翩，投檄归来志浩然。新构凤麟洲上屋，恰如书画米家船。干将破壁龙俱化，脉望飞空蠹亦仙。更试囊中五色笔，桂花香露洒银笺。
题络纬图,元末明初,邾经,牵牛风露满篱根，淡月疏星夜未分。灯下有人抛锦字，机丝零乱不成文。
方寸铁赠朱伯盛,元末明初,邾经,朱君手持方寸铁，模印能工汉篆文。并剪分江龙喷月，昆刀切玉凤窥云。他年金马须承诏，此日雕虫试策勋。老我八分方漫写，诗成亦足张吾军。
周玄初祈晴诗,元末明初,申屠衡,寥阳之阙天皇居，百灵拱卫群真趋。羽人神游尻为舆，招摇御气凌空虚。九关洞启光县珠，绿章封奏人间书。吴田潦淫三月余，吴淞决防连具区。春苗荡溺无遗株，吴民业业忧为鱼。上天好生哀冥愚，羽人稽首帝曰俞。廓除霾曀开天衢，蛟龙伏藏黑蜧诛。有秋芃芃还土腴，人无菜色国有储。羽人有道神明俱，手持玄纲旋斗枢。紫云为舄丹霞裾，蓬莱清都随所如。琳宫载敞虞山隅，为予分驻飙轮车。
绝句,元末明初,申屠衡,青锁春闲漏点迟，博山香煖翠烟微。隔帘谁撼金铃响，知是花间燕子归。
次韵陈敬初答虞清二子雨中见寄绝句六首 其一,元末明初,钱逵,白箓裁笺带玉纹，乌丝题字寄衡门。风床展玩论书法，何似颜公屋漏痕。
次韵陈敬初答虞清二子雨中见寄绝句六首 其二,元末明初,钱逵,积雨孤村水满堤，杏花零乱落春泥。草堂近在桥东路，只借丹丘处士栖。
次韵陈敬初答虞清二子雨中见寄绝句六首 其三,元末明初,钱逵,喧喧春鸟报新晴，不遣春愁眼底生。拟约芙蓉洲上坐，暂分私地听蛙鸣。
次韵陈敬初答虞清二子雨中见寄绝句六首 其四,元末明初,钱逵,独立春江古岸基，风帆沙鸟总忘机。今朝闻有巢湖信，南陌东阡迟子归。
次韵陈敬初答虞清二子雨中见寄绝句六首 其五,元末明初,钱逵,村坞深如华子冈，东风花落涧泉香。故山猿鹤相望久，莫遣濡须草树荒。
次韵陈敬初答虞清二子雨中见寄绝句六首 其六,元末明初,钱逵,关河犹未息风尘，孤负春来绿草茵。莫报淮南近消息，题诗且慰白头人。
赵子固兰蕙卷,元末明初,钱逵,王孙书画出天姿，痛忆承平鬓欲丝。长借墨花寄幽兴，至今叶叶向南吹。
雪霁顾仲瑛偕余与陈惟允坐剑池上惟允为写图因赋诗云,元末明初,郯韶,残雪落林度西岭，古涧寒泉凝素绠。孤僧倚树听微吟，一鹤临池照清影。松间旭日映山椒，白云英英如雨飘。何当为置王摩诘，更添几叶红芭蕉。
雪霁与郯九成陈惟允坐剑池上惟允为写图因次九成韵,元末明初,顾瑛,饮涧长虹挂深岭，千尺辘轳断修绠。夜寒月黑鬼赋诗，白日清风人写影。藤萝阴阴蔓山椒，长松落雪如花飘。烦君画我掩书卧，窗前更著青芭蕉。
奉陪吕志学曾彦鲁刘仲原同登虎丘赋呈居中长老,元末明初,邾经,虎丘山前新筑城，虎丘寺里断人行。胡僧自识灰千劫，蜀魄时飘泪一声。渐少松杉围窣堵，无多桃李过清明。向来游事誇全盛，曾对春风咏太平。
卧云室（师子林十二咏）,元末明初,申屠衡,童子爱白云，闭置密室内。不如放令出，去住得自在。
问梅阁,元末明初,申屠衡,石阑护苔枝，相对黄昏月。问答本无言，翠禽强饶舌。
指柏轩,元末明初,申屠衡,冰霜二百年，老骨耐撑拄。欲知僧腊高，即是阶前树。
竹谷,元末明初,申屠衡,阴森生昼寒，仰不睹天日。时从绿云中，窥见一星出。
暮宿田家作,元末明初,蓝仁,木落天正寒，山空日将暮。荒村倦鸟归，乱水行人渡。穷年滞草莽，短褐被霜露。晚宿依田家，主人情亦故。汲井泉满涧，烧竹烟在户。钟残溪上村，月照阶前树。浊酒初泼醅，嘉蔬亦时具。且慰饥渴怀，况谙村野趣。老翁八十余，有子役征戍。粳稻岁暮收，官司日加赋。我愿息兵戈，海宇重农务。愧乏经济材，徒然守章句。
风雨不已川流渺漫感事叙怀柬我同志,元末明初,蓝智,云雷中夜兴，风雨达清旦。开门山木昏，隐几波澜乱。鹳鹤下空庭，蛟螭上高岸。舟航远树杪，石壁中流半。黍豆或漂流，蓬蒿乃滋蔓。北风不扫除，南海尽弥漫。乃知兵戈气，郁结久不散。坤轴恐欹倾，阳乌失光灿。伤时转凄凉，涉世正忧患。微躬愧鸟雀，何由塞天汉。
雨中柬王幼度,元末明初,蓝智,客子清晨卧江阁，老树闭门风雨恶。渔舟满眼乱波涛，杀气冥冥塞寥廓。地炉火冷席无毡，短衣百结双履穿。寒食清明不归去，故山松柏空云烟。先生适自江东至，行李兼旬共留滞。登楼王粲漫多才，献策刘蕡甘下第。三鳣聊尔拥皋比，一鹗未负风云期。青春白日麟凤远，长林丰草豺狼饥。十年烽火暗南极，戎马纷纷未休息。朝廷耆旧困草莱，乡里儿童誇膂力。我今旅食向孤城，君亦胡为念远行。人生只在意气合，世上未觉文章轻。野人岂知天下事，杜宇夜啼花满地。狂如贾谊惟痛哭，贫似扬雄空识字。昨夜封书与雁归，妻孥应怪苦回迟。丈夫磊落志千载，一日穷途何足悲。
赤壁,元末明初,蓝智,长江西来雨如雾，赤壁苍苍风雨暮。草木犹疑横槊时，尘沙尚忆焚舟处。乌林渡口下舳舻，曹瞒已料无全吴。阵前部曲奔先主，眼中谈笑轻周瑜。君臣谋合士贾勇，玉帐旌旗亦飞动。楼橹晴空烟焰高，鱼龙白日波涛涌。荆门牢落驻残兵，野旷不闻鼙鼓声。战骨秋埋湖外草，捷书夜报石头城。雄图霸气两消歇，地老天荒秋一叶。石上残碑过客题，沙中古剑渔人得。汉王祠枕碧山隅，诸葛台荒野鸟呼。千年忠义出师表，万里江山八阵图。
宿橘山田家怀蒋先生,元末明初,蓝智,苍峰落日微，白鹤秋风远。客路入疏钟，田家背山坂。孤烟桑柘寒，归鸟茆茨晚。欲觅紫芝翁，山深白云满。
暮归山中,元末明初,蓝仁,暮归山色昏，濯足月在涧。衡门栖鹊定，暗树流萤乱。妻孥候我至，明灯供蔬饭。伫立松桂凉，疏星隔河汉。
秋日游石堂奉呈卢佥宪,元末明初,蓝智,荒郊通径僻，野竹闭门深。白日羲皇世，青山绮皓心。潜蛟多在壑，宿鸟独归林。知尔荷锄倦，时为《梁甫吟》。
秋夕怀张山人,元末明初,蓝智,鼓角边声壮，林塘夜色幽。凉风动疏竹，明月在高楼。久客形容老，孤城战伐愁。不眠怀魏阙，长啸拂吴钩。
雨中同孟原佥宪登嘉鱼亭,元末明初,蓝智,高阁流莺外，荒城驻马前。江寒三月雨，春老百蛮天。折柳悲横笛，飞花落钓船。乾坤总羁旅，把酒意茫然。
时事 其三,元末明初,蓝智,大府城隍废，疲民井邑空。舞干非舜日，斩木有秦风。烽火苍茫外，江山感慨中。悲歌看古剑，激烈想英雄。
宿严滩作,元末明初,蓝智,水宿傍严滩，风灯语夜阑。鼍鸣潮信急，龙过雨声寒。病喜江山好，贫嗟道路难。故园三四口，书札报平安。
徐雪舟为画蓝涧草堂图,元末明初,蓝智,碧草连书屋，苍山对画图。鹤巢秋树小，渔艇夕阳孤。野色晴初远，溪云淡欲无。浮楂倚盘石，把钓任潜夫。
经石堂追怀卢使君,元末明初,蓝智,旧隐仙人馆，曾陪使者车。那知沧海别，不返白云居。山雨荒樵径，窗尘污道书。伤心庭外竹，清影漫扶疏。
兵后归西山,元末明初,蓝智,乱后归茅屋，晨兴步石田。客愁空日日，春色自年年。风雨啼莺外，江湖去鸟前。艰难思故旧，回首意茫然。
蓝涧草堂,元末明初,蓝智,橘井云山北，茅斋涧水西。听猿秋树近，扪虱夕阳低。樵子知愚谷，田翁伴醉泥。兴来时得句，自向竹间题。
闻蓝山兄寓滁州,元末明初,蓝智,番水初传信，滁山想定居。秋吟兼蟋蟀，晚饭得鲈鱼。落月沧江阔，凉风白发疏。兵戈关塞隔，不敢问何如。
登凤林寺钟楼作,元末明初,蓝智,楼凭青嶂迥，人到上方稀。古寺愁春雨，疏钟送落晖。云林孤迹远，法界一尘微。坐久松风动，飞花落客衣。
山中漫题 其三,元末明初,蓝仁,读书期有用，闭户耻无能。落叶空山雨，疏钟独夜灯。人称樗里子，住近石门僧。静坐观诗妙，须参最上乘。
顺昌道中,元末明初,蓝智,蓐食鸣鸡晓，空山啼鸟春。远钟何处寺，残月独行人。书剑嗟黄发，江湖起战尘。南游未得意，北望正凝神。
雪中送舒文质归广信,元末明初,蓝智,积雪千峰迥，空林一鸟归。客愁南浦树，乡梦北山薇。风雨荒茅屋，兵戈老布衣。饥寒兼盗贼，出处寸心违。
寄云松先生隐居五首 其一,元末明初,蓝仁,风雨论交旧，林塘卜筑新。幽栖兼令弟，高卧愧时人。竹日明书帙，溪云覆钓缗。林居无俗客，麋鹿自相亲。
柳城道中,元末明初,蓝智,霜气晚凄凄，荒冈恐路迷。孤云桂岭北，落日柳城西。地暖蛇虫出，林昏鸟雀栖。蛮乡经战伐，问俗愧遗黎。
采石舟中寄子正佥宪,元末明初,蓝智,共醉黄垆酒，还登采石舟。澄江晴吐月，独树晓生秋。去国一身远，怀乡半夜愁。明朝陪使节，一上岳阳楼。
恭城县 其一,元末明初,蓝智,十室黄茅屋，千峰红叶村。喧厖蛮俗异，质朴古风存。鸡犬连猺洞，牛羊到县门。残年历荒徼，遥布圣明恩。
晚立怀友,元末明初,蓝智,野旷行人绝，林空坠叶闻。客愁当落日，诗思入寒云。草暗防蛇毒，山昏过虎群。梅花万里道，岁晚正思君。
过云洞岭,元末明初,蓝智,路出千林迥，山连五岭遥。石崖悬度栈，野树卧通桥。涧饮犹防蛊，畬耕尽属徭。夕阳驱瘦马，鬓影漫潇潇。
溪桥晚立,元末明初,蓝智,天阔浮云尽，山昏落日微。鸟栖当野树，人语共柴扉。岁月且云暮，乡关何处归。邻家响机杼，远客叹无衣。
夜雨,元末明初,蓝智,多病西风客，空堂独夜愁。灯残江上雨，木落岭南秋。黄卷知何用，丹砂不易求。君恩无补报，怅望惜淹留。
赠隐者,元末明初,蓝智,风云蛇阵将，山水鹿门居。报国曾留剑，归田始读书。雁秋湖水落，蝉露柳条疏。别梦关山远，松窗夜月虚。
雨中,元末明初,蓝智,黯黯云垂野，潇潇雨满林。晚山归鸟尽，秋草闭门深。落叶萧条树，空城断续砧。烦忧兼独立，谁识此时心。
晓发江上,元末明初,蓝智,官船催晓发，浦鸟暗惊飞。残月低清渚，疏钟隔翠微。晨光初辨树，秋色已生衣。万里惭张翰，鲈鱼未得归。
柳城县,元末明初,蓝智,青山入县庭，小邑但荒城。竹覆茅茨冷，江涵石壁清。草虫当户堕，水鸟上阶行。问俗知无事，松风一舸轻。
出云藤驿,元末明初,蓝智,又出云藤驿，扁舟更向东。地蒸秋有瘴，江阔夜多风。旅梦惊啼狖，乡心托断鸿。天涯看月色，不与故园同。
宿阳朔山寺,元末明初,蓝智,晚景孤村僻，松门试一登。秋山黄叶雨，古寺白头僧。坏壁穿新竹，空床覆旧藤。宦情与禅意，寂寞共寒灯。
来宾县晓发,元末明初,蓝智,宦游同逆旅，侵晓逐征途。空馆残灯小，长江落月孤。邻鸡催去马，城拆起栖乌。物色兼人事，匆匆岁欲徂。
江上别故人,元末明初,蓝智,天涯芳草色，对酒惜余春。此日沧江别，东风白发新。落花晴傍马，野鸟冷窥人。共勉持风纪，驱驰莫厌频。
宿开建江上怀闽中故人,元末明初,蓝智,东风袅袅泛鸥波，倚棹汀洲近薜萝。江上流莺疏雨歇，天涯芳草落花多。暮云尚隔苍梧野，秋兴空怀《白苎歌》。离别不堪频怅望，美人南国意如何。
秋夕怀王长文,元末明初,蓝智,月落秋山夜正中，飞云寥落海天空。揽衣谁念闻鸡舞，拔剑终期汗马功。河汉星辰连北斗，蒹葭霜露满西风。忧时王粲头如雪，却忆《登楼赋》最工。
答萧子仁,元末明初,蓝智,每忆诗篇共讨论，更烦书札寄殷勤。西风一叶潇潇雨，落日三山渺渺云。碧海鱼龙秋正蛰，空江鸿雁夜多闻。茆檐寂寞黄花晚，欲采寒香远寄君。
闻吴维新写正览已毕作诗迎之,元末明初,唐桂芳,吴郎久不见，怅望隔江村。辛苦头将白，编摩眼易昏。蕉心含雨润，柿叶缬霜繁。智永瞠诸后，羲之本一门。未应梁上得，偏向枕中存。点磔临池黑，戈波漏屋痕。萦萦蛛结网，袅袅茧缫盆。白练书裙好，黄麻草诏尊。首濡无醉魄，笔谏有忠魂。安得三千幅，烦君恣意翻。
遣怀 其二,元末明初,唐桂芳,繁昌县前白杨树，随处柴门逐水开。可是夜深风露冷，流萤一个度江来。
和程仲庸游京口留别,元末明初,唐桂芳,我正无心懒似云，那堪奔走污缁尘。飞花岸柳偏愁客，吹浪江豚忽拜人。玉带暂抛烦转语，楞伽曾写悟前身。异时好说金山寺，小小渔舟唤渡频。
赋秋胡子,元末明初,唐桂芳,依依陌上桑，婉婉桑间妇。嫣然红罗襦，采桑湿香雾。相逢马上郎，停鞭偶回顾。重遗买一笑，脉脉此情露。谁知妇人身，托生胶漆固。本期骨肉亲，反被颜色误。忆当送郎初，徙倚门前树。箧笥满征裳，一一裁缯素。绣为双鸳鸯，犹惧观者妒。愿郎早归来，恨不与俱去。尘埃扑床帷，蟏蛸网窗户。惟有白发姑，未忍衷情诉。可怜不相识，春心挑中路。苍皇下马时，忽忽意未悟。洞房扫春蚕，一见应愧负。汝妾固可弃，汝亲宁弗慕。黄金无亏盈，白璧有点污。嫁夫恩义乖，何如江水赴。贞姿擅古今，朽骨忘朝暮。悠悠惩怆心，于焉发长喟。
拟古 其一 行行重行行,元末明初,钱宰,出门万里别，行行远防边。相望各天末，北斗日夜躔。四运秋复春，不见君子还。燕车北其辙，越马南其辕。目远心愈近，怅望徒悬悬。黄云暗关塞，路险不见天。式微夫如何，日月忽已迁。愿言崇明德，无为终弃捐。
拟古 其二 西北有高楼,元末明初,钱宰,高台何巍巍，参差与云平。玉绳临双阙，长河流无声。上有羽衣人，逍遥吹玉笙。清响明月，飞佩何泠泠。借问弄者谁，疑是董双成。逸思随风发，无人识其声。曲终再三叹，感慨有余情。所悲同门友，局促趋世荣。愿将秋水剑，为之解尘缨。笑呼双黄鹄，与子俱远征。
拟古 其三 涉江采芙蓉,元末明初,钱宰,涉海采琅玕，红者珊瑚枝。明珠盈怀袖，将以遗所思。海阔不得返，所宝莫致之。烂其纳我室，抱璞将何为。
拟古 其四 明月皎夜光,元末明初,钱宰,皎皎明月光，照我屋东头。寒螀鸣树间，招摇指孟秋。白露下高梧，落叶声飕飕。寒温更变迁，河汉东南流。怀哉里中儿，奋志起远游。飘然溯长风，乘槎犯斗牛。支机织女石，为问今在不。水深波涛阔，浮名将焉求。
拟古 其五 冉冉孤生竹,元末明初,钱宰,青青梧桐树，托根在高冈。与子新合欢，翕如凤与皇。凤皇鸣锵锵，合欢期世昌。欢情一何短，离思一何长。嗟彼篱下菊，含英扬其芳。晨霜秉贞节，宁随秋草黄。终当采而佩，岁晏夫何伤。
拟古 其六 庭中有奇树,元末明初,钱宰,中林多幽兰，江篱杂芳荪。采之酌春酒，将以清心魂。持杯未及饮，怅然念王孙。王孙不归来，置酒在芳尊。
拟古 其七 迢迢牵牛星,元末明初,钱宰,河东有织女，皎皎云为章。手弄机上丝，日夕更七襄。织成五色文，欲制君子裳。莫言隔秋水，可以驾飞梁。睆彼牵牛星，终日不服箱。
拟古 其八 客从远方来,元末明初,钱宰,故人万里别，海水日夜深。南风海上来，遗我双南金。不见故人面，乃见故人心。铸作黄金徽，置之白玉琴。弹为《别鹤操》，闲以怀湘吟。曲终听者稀，矫首望知音。
拟古 其一,元末明初,钱宰,庭树日已黄，白发日已短。候虫鸣前除，秋霜蕙花晚。岁月如奔驹，六辔不可挽。泛舟涉方瀛，方瀛水清浅。安期邈难求，吾棹亦已返。花开醉复斟，黍熟饥自饭。逌然乐悟生，瑶岛谅不远。
过城南田舍,元末明初,钱宰,鸡鸣大星没，揽衣出衡宇。开门走狗先，巷白行人语。零露濯冲襟，残月澹幽墅。泠然旦气清，逍遥散尘绪。人生天壤间，俯仰成今古。且复耕我田，商歌更何补。
