题目,朝代,作者,内容
江城子,清末民国初,樊增祥,碧玲珑馆女儿居。脸红芙。鬓鸦雏。别又三年，诗格似唐初。自写明河篇一纸，学织女，寄黄姑。青鸾信息几曾疏。赠明珠。报琼琚。君问簪花，小字倩谁书。向道是侬刚不信，宁更有，女相如。
江城子 其一,清末民国初,樊增祥,满衣风露两眉秋。板桥头。小兰舟。朵朵绯霞，叶叶翠云流。蓦见吴娃红粉面，比花俊，替花羞。菱歌声绕十三楼。劝侬休。要侬留。从古采莲，故事起苏州。七二鸳鸯花底睡，浑不带，一分愁。
江城子 其二,清末民国初,樊增祥,明眸剪水一泓秋。蓦回头。促移舟。窄窄杏红，衫子自风流。荡入荷花深处去，怕人见，见人羞。泊舟夜傍酒家楼。倦还休。去还留。趁逐秦淮，一水到真州。江北江南花不断，何处有，别离愁。
江城子 其三,清末民国初,樊增祥,芙蓉江上一篷秋。趁潮头。转莲舟。谁引钱塘，水入里湖流。教唱沈郎新乐府，才上口，恰含羞。越娃居处水明楼。雨中休。月中留。夺得吴宫，西子付杭州。说到西湖花色好，吴苑女，一时愁。
江城子 其四,清末民国初,樊增祥,盈盈红粉露房秋。转船头。避来舟。约略年初，十五最风流。摘得荷花低障面，才强笑，又佯羞。江南临水尽朱楼。欲归休。此间留。笑指岳莲，十丈是吾州。欲引江船来入渭，云树隔，使人愁。
角招 雨后凉甚，灯下读《兰当词》，漫赋,清末民国初,樊增祥,了无暑。南来几、梅风吹霁虹雨。博山烟一缕。轻度魫窗，萦带芳树。罗衣楚楚。添半臂、泥金刚彀。玉簟龙鳞似水，仗六曲画屏风，把新寒防护。分付。兰缸麝炷。蔷薇盥手，重展金黁谱。画兰吴下女，转作词人，隔烟低语。凉花泫露。问笙鹤、瑶天归否。泪烛红深几许。浑不似、绿桐阴，横琴处。
湘春夜月 其一 湘帘，和《兰当词》,清末民国初,樊增祥,问湘筠，带来多少啼斑。织就万缕冰丝，浅浅漾情澜。里面看人了了，甚外边窥玉，如月笼烟。与月中花影，风中粉絮，终日缠绵。梳头未竟，石榴一点，红透侬边。燕子猜详，谁扶起、洞庭春水，低挂南檐。深深窣地，放玉钩、银蒜长闲。算好物、宜诗宜画，阑干和汝，无限流连。
湘春夜月 其二 湘簟，和《兰当词》,清末民国初,樊增祥,可红床，一方软碧琉璃。付与玉貌湘娥，纤手弄明漪。五月清凉无汗，称水晶双枕，杏子单衣。傍画屏猩色，龙须锦褥，天未寒时。疏帘掩映，舒云卷雨，来共枰棋。细浪龙鳞，还带得、斑斑红泪，凉沁冰肌。银缸照梦，梦君山、浅画秋眉。算绿玉、筼筜最好，莫铺蕉叶，休织桃枝。
瑶华 咏湘妃竹，次兰当韵,清末民国初,樊增祥,云中青凤辇。绰约灵妃，试偷开啼眼。丛丛烟筱，堪截作、碧玉苕华仙琯。青峰江上，杳难逢、宫眉春展。把御垆金鹧香斑，写入竹枝哀怨。苍梧一抹横云，任倚遍修篁，罗袖寒浅。红兰泫露，还仿佛、慢转秋波娇眄。璇宫夜泣，可织得、银床冰簟。胜后来、宴冷瑶池，苦竹黄云歌遍。
蝶恋花 其一,清末民国初,樊增祥,小巷梨花风色暝。别院金筝，弹得春愁醒。病酒恹恹冠不整。银缸扶上斜簪影。几帙残书堆作枕。强起窥帘，缺月娟娟静。墙外柝声如雨迸。天涯剩个愁人听。
蝶恋花 前词浸既成，怆悢无已。再赋一阕，寄仲彝昆季 其二,清末民国初,樊增祥,京洛少年花比俊。三十三年，多少看花恨。人物风流淘洗尽。愁人一个今还剩。兄弟天涯烦问讯。南海西江，共指吴霜鬓。往事凄凉谁几省。风前飞过杨花影。
高阳台,清末民国初,樊增祥,渍酒陶巾。钞诗段袄，泪红比烛还深。浅土稽山，谁从玉海钩沈。早将身作潇湘水，写红兰、万种愁心。论词人、词是秋花，人是秋星。飘飘不尽凌云意，欠勒铭碣石，颂鼎汾阳，传唱人间，惟余散水珑玲。当年赌画旗亭壁，旧酒痕、犹在吴襟。剩今宵、夜雨灯前，独抱牙琴。
浣溪纱 其一,清末民国初,樊增祥,钿毂轻雷听未讹。雪衣初报玉人过。深愁浅笑认梨涡。暂解修眉今夜锁，慢回娇眼去时波。新词分付管儿歌。
浣溪纱 其二,清末民国初,樊增祥,雨浴新蟾茉莉香。轻衫小扇墨君堂。九枝灯发绿荷光。笑指星河初七近，惯禁风露五更凉。归时分与薄罗裳。
浣溪纱 其三,清末民国初,樊增祥,出浴仙娥画不成。断红双脸黛眉青。烧香拜月到中庭。方锦褥边三日麝，轻罗扇底一星萤。夜窗还课藕花经。
鹧鸪天 东园,清末民国初,樊增祥,小辟东园学种瓜。粉墙遥带竹篱笆。雨肥碧玉蛾眉豆，风折黄金凤爪花。香径转，绿阴斜。堆庭苔石长须牙。外间不识汾阳宅，道是襄阳米老家。
洞仙歌 赋得“摺叠魂儿夹书中”，闻戟传作此题，匿稿不出，戏作四首 其一,清末民国初,樊增祥,书窗睡美，有诗魂一缕，摇曳云屏最深处。莫从风飘荡，任意东西，倩黄奶，试把轻狂约住。小如花叶样，欲寄朝云，其奈芳期牡丹过。叠作一封书，付与嫏嬛，浑不怕、乌龙惊汝。任游遍百城似穿花，待蝴蝶、归来漆园方寤。
洞仙歌 其二,清末民国初,樊增祥,诗魂何似，似银云一片，白藕花边倚风飐。算青灯照我，五十三年，书丛里，栩栩蘧蘧见惯。卷舒罗袖底，又似桃根，新买苏杭聚头扇。关锁玉台中，新咏钞成，徐郎在、梦中偷看。便雪案埋头过今生，料脉望、和卿也都情愿。
洞仙歌 其三,清末民国初,樊增祥,诗魂何似，似香罗绣帕，叠雪含风置书架。总萤囊蠹简，夜夜相依，从不放，虚昴星期短假。先生春睡美，镇压犀株，百八钟声要轻打。比似蛹中蚕，熟到三眠，神仙字、三番食罢。倘倩女相逢砚屏边，也消得、书中玉颜如画。
洞仙歌 其四,清末民国初,樊增祥,诗魂何似，似玉垆香穗，妙得非烟似烟意。任拈花女手，叠作鲛绡，也当汝，贝叶莲华一类。青编应恋汝，汝恋青编，似在鸳鸯锦衾里。玳瑁箧中眠，遍体文章，应不减、凤皇都丽。把张果白驴借卿骑，看跃出、巾箱回想天际。
蝶恋花 立秋日雨,清末民国初,樊增祥,未立秋前秋已到。到立秋时，秋比春寒峭。天若多情天亦老。一年祇觉晴天少。雨滴梧桐枝上鸟。一叶一声，叶落无人扫。池上红莲如笔小。鸳鸯惯打相思稿。
西江月 题《东溪草堂图》,清末民国初,樊增祥,一段不平山色，几株本分桃花。小桥红板逐溪斜。锦带一条虹跨。梦里江乡鱼稻，眼前杜曲桑麻。清明无客不思家。闲看草堂图画。
喝火令 其一,清末民国初,樊增祥,蜡面深钤印，香心半作灰。刺桐花下绣帘垂。总把闲愁付我，欢喜恰归谁。日晏才梳髻，春深懒画眉。从花开日到花飞。道是无情，不合寄当归。道是仲春归也，因甚负蔷薇。
喝火令 其二,清末民国初,樊增祥,麝炷薰宜爱，檀槽拨小怜。前身应是月中仙。记得红笺八字，属兔是生年。爱画成痴绝，耽诗亦墨缘。同船曾记五年前。那日春帆，细雨煮茶天。那日蘋花香里，携手看鞋山。
喝火令 其三,清末民国初,樊增祥,争及穿帘燕，还输在抱猧。匆匆走马向天涯。无数灞桥垂柳，青眼不如他。别路三逢雪，春山几摘茶。马婆巷口那人家。记得清明，记得小窗纱。记得小桃人面，低映小桃花。
喝火令 其四,清末民国初,樊增祥,珠是吴船雨，香为楚岫云。廿年前事一销魂。小阁建兰开也，同试碧螺春。镜屉藏诗札，铃绦晾绣巾。羊车共载出吴闉。看煞萧郎，看煞画中人。看煞银泥衫子，衫底藕花裙。
江城梅花引 雨夜宿故市闷书,清末民国初,樊增祥,卧闻楼鼓已三敲。夜迢迢。雨潇潇。恰似真珠红酒滴春槽。竹屋矮窗人一个，卧还起，拥薰炉，似那宵。那宵那宵。太无聊。墨初调。香半焦。睡也睡也，睡不稳、自煮松涛。多分野梅红绽小溪桥。欲踏霜桥寻梦去，怕飞雨，溅寒香，湿袖貂。
昭君怨 戏讯西屏,清末民国初,樊增祥,归看凤雏索乳。银鹿牙牙学语。不似白家蛮。似香山。东阁幽香已动。官马几时才鞚。不问老苏卿。问朝云。
高阳台 爽翁卜妾秦淮，赋此调之,清末民国初,樊增祥,雀桁闲花，雉场秋草，渠侬不解伤春。堕策闲坊，一株红桕遮门。十三楼下秦淮碧，侧乌纱、亲访桃根。谩销魂、三十年来，此度才真。萧郎四九头先白，要蓝罗小袖，早暮看承。天女维摩，相逢总是禅人。短辕长柄知何用，料春风、不煮仓庚。问香茗、不唤朝华，定唤朝云。
鹊桥仙 再寄爽翁二解,清末民国初,樊增祥,明眸剪水，仙肌胜雪，相遇莫愁湖畔。山房蒲褐冷于冰，怎禁得、摩登低唤。仙风道骨，餐芝服散，百年才过一半。再过三十五春秋，更买取、莺莺燕燕。
红窗睡,清末民国初,樊增祥,油碧窗扉纱似雾。刚觑见、远山颦处。晓来饶舌憎鹦鹉。道夫人薄怒。晚岁萧郎依佛火。早打点、心经一卷，授伊蛮素。桃花生子，可小名法护。
金缕曲 其一 始用眼镜,清末民国初,樊增祥,五十平头矣。傍青灯、摩挲病眼，废书而起。就使刘郎窥宓枕，也似看花雾里。是谁把、轻冰琢洗。醉缬狂花收拾净，剪双瞳、还我秋江水。犹自有，少年意。抄书试写桃花纸。笑依然、丹黄满目，短檠身世。加上一重殊不恶，包老灯笼逊此。便从此、目虾相倚。牙仗须梳同检点，更美人、赠我荷囊紫。同系在，吴襟底。
金缕曲 其二,清末民国初,樊增祥,绮障生银海。是何人、江心巧铸，镂冰圈玳。上跨彩虹桥一道，秋水两泓无碍。凭推入、琉璃世界。老去瞳人私自语，料今生、难出圈儿外。吾眊矣，有卿在。从今莫把连环解。任耳鬓、厮磨到老，青矑不改。黑白太分终是病，对客还须愦愦。且系著、吴钩锦带。读曲看花俱可可，祇仪形、不入龙眠画。还抵得，汉皋佩。
菩萨蛮 题马士英《千峰夕照图》,清末民国初,樊增祥,桃花扇底虫沙劫。南都乔木伤心色。残照下西岑。难为瑶草心。天边百雁过。金粉江山破。莫污女郎名。江南冯玉瑛。
行香子,清末民国初,樊增祥,客过吾庐，骨董盈车。比淮南、米价何如。珍逾白璧，贵甚明珠。是汉时碑，元时画，宋时书。披帷示客，插架充厨。视云林、清閟无殊。包罗一部，铁网珊瑚。更藕心钱，蕉叶砚，粟纹壶。
钗头凤 其一,清末民国初,樊增祥,诃梨领。茱萸锦。轻裾窄袖娉娗影。昨宵忆。今宵忆。桃花笺纸，青鸾消息。密。密。密。深深院。双飞燕。菖蒲花发才相见。君休惜。侬休惜。眼中红泪，真珠千粒。滴。滴。滴。
钗头凤 其二,清末民国初,樊增祥,桐花乳。梨花雨。桃花扇上乘鸾女。杨枝弱。宫腰约。丁娘十咏。教郎斟酌。索。索。索。红窗暮。沈烟炷。是侬擘竹分茶处。东风恶。吹罗幕。连环椎破，锦书烧却。莫。莫。莫。
兰陵王 其二 次韵代答,清末民国初,樊增祥,枕屏侧。小玉催人弄笛。翻一曲、桃叶艳歌，恰似江南望江北。凭栏酉到戌，删却，黄昏也得。瑶阶静、梅萼半开，逗引疏香绣帘隙。含颦几朝夕。且暗掐经珠，轻拭琴漆。芳心早许梁园客。好佩玉双赠，镜菱双照，鸳鸯成就到头白。忍蹙损莲额。脉脉。展兰席。叹刻画朝云，抛尽心力。春宵一刻黄金百。待烛下重见，凤团亲擘。教郎须记，绣枕畔，泪尚赤。
浪淘沙 雨中闷书,清末民国初,樊增祥,轻雨绿如烟。满地苔钱。唤人鹦鹉不胜寒。金凤花开还又落，闲凭东栏。来去画屏边。暗触筝弦。西楼旧梦远于天。壁上蟏蛸心上事，各自缠绵。
唐多令 代人寄外,清末民国初,樊增祥,绣幕水沈烟。檀槽独茧弦。又西风、疏柳残蝉。一纸平安难得到，容易到，早秋天。掐遍玉连环。藁砧山上山。好姻缘、暗卜金钱。万水千山容易到，难得到，谢郎边。
采桑子,清末民国初,樊增祥,怪来一夏无佳梦，独睡红房。枕簟潇湘。不信天涯在卧床。刍尼扑落梧桐子，今夜新凉。绣被薰香。小玉移灯宿外厢。
一剪梅,清末民国初,樊增祥,金鸭无烟香饼焦。风也萧萧。雨也潇潇。秋盆红煞美人蕉。花也无聊。人也无聊。昨夜微霜上柳条。眉不禁描。魂不禁销。无言红泪湿鲛绡。携手今朝。折柳明朝。
减兰 月下闻雁,清末民国初,樊增祥,流光如箭。月满西楼闻过雁。雁是书邮。月也随伊到陇头。月吾问汝。香雾云鬟无恙否。雁汝来前。红到花中老少年。
虞美人 其一,清末民国初,樊增祥,花枝一束妆台镜。晓月纱窗映。柳疏萝密曲栏东。屧响玉阶秋晕小棠红。烟沈水榭花纱旧。悄悄牵罗袖。许卿灯背作家书。字密错看郎缀一帘珠。
虞美人 其二,清末民国初,樊增祥,珠帘一缀郎看错。密字书家作。背灯卿许袖罗牵。悄悄旧纱花榭水沈烟。红棠小晕秋阶玉。响屧东栏曲。密萝疏柳映窗纱。月晓镜台妆束一枝花。
玉楼春 咏鞋,清末民国初,樊增祥,彩茸金线交相错。斗本色双莲不过。天教约住软香钩，这缩本鸳鸯谁做。踏青归后香泥涴。也不用锦裙遮逻。花间把作暖金杯，乞借与萧郎则个。
行香子 前题,清末民国初,樊增祥,两瓣芙蓉。长靠屏风。费灯前、几许香绒。绣帮五色，粉底双弓。有柳般绿，藕般白，杏般红。响屧房栊。惯识莲踪。恰为伊、疏了春葱。掌中安置，袖底牢笼。怕帮儿涴，跟儿挫，口儿松。
江神子 其一 有赠,清末民国初,樊增祥,越罗衫色浅于苔。藕心思。燕身材。不用并桃冠子九鸾钗。祇是家常梳共洗，平赛过，雪溪梅。昨宵蟢子上妆台。为谁来。为侬来。雨后秋盆几箭玉簪开。忙对菱花簪戴了，床上坐，绣弓鞋。
江神子 其二 代和,清末民国初,樊增祥,粉黄蝴蝶上秋阶。为郎来。为奴来。一簇雁来红傍粉墙隈。留得晚霞颜色在，长伴取，露棠开。暖云甜雨二更才。粉妆台。绿茶杯。贪绣浅帮窄底小鸳鞋。花到夜深浑不睡，还待取，藁砧催。
江城梅花引 秋闺二解 其一,清末民国初,樊增祥,锁香房户小帘㰍。桂堂东。几相逢。云际一钩残月挂梧桐。闲踏苍苔来又去，频徙倚，玉阶前，白露中。月黄星黡晚妆慵。口朱融。鬓蝉松。近也近也，近重九、愁雨愁风。半臂吴绵纤手慢裁缝。刀尺已收临欲睡，还看取，小灯花，缀玉虫。
江城梅花引 其二,清末民国初,樊增祥,一枝新菊鹤翎黄。玉台旁。紫毫双。浓笑泼茶不减向时狂。赌记唐诗金粉事，凭检取，第几篇，第几行。垂帷初进玉莲汤。背银釭。解明珰。换也换也，换新式、窄袖衣裳。更把唇朱亲酒试温凉。从此祇嫌兰麝俗，微醉后，款谈时，觉口香。
采桑子,清末民国初,樊增祥,盈盈红粉搴帘入，身是惊鸿。名是轻红。笑问萧郎可见容。珊珊玉骨轻能举，走上薰笼。立上屏风。飞燕今宵在掌中。
金缕曲 戊戌花朝，风雪寒甚，晚宿木兰店作,清末民国初,樊增祥,孤负花朝矣。笑封家、诸姨不管，百花生死。刚是海棠春睡后，梦堕梨云窝里。怪昨夜、鹅衾如纸。晓御碧油檐子出，看琪花、开遍人间世。骄马蹴，玉尘起。酣歌痛饮长安市。甚南来、春阴十日，酽寒如水。破屋数间何所有，冷饼生齑而已。便细嚼、梅花何味。生是苦瓜和尚命，更鸠摩、多了妻和子。谁会我，入关意。
清平乐 初入县廨，小步东园桃花下，漫赋此词,清末民国初,樊增祥,暖风吹面。半臂轻绵换。桃李东园开烂熳。消领春光一半。去时雨熟黄梅。归日酴醾未开。伶俐画檐双鹊，花梢等得春来。
浣溪纱 三月十五夜东园看月，是日清明,清末民国初,樊增祥,小别东园近一年。重携不借印苔钱。早生新火煮砂泉。几曲朱阑调鹤地，满衫凉月试琴天。冰蟾五十二回圆。
鹧鸪天 其一 九月初三夜宿华清，用香山旧句成解,清末民国初,樊增祥,露似珍珠月似弓。无人解与唱玲珑。魂销候馆初三夜，身在莲汤第二中。灯隐隐，树重重。玉波初上鲤鱼风。新霜落尽黄榆叶，秋思依依满故宫。
鹧鸪天 其二,清末民国初,樊增祥,九月初三绣岭东。秋阶犹发海棠红。水如碧玉山如黛，露似珍珠月似弓。临曲槛，绕芳丛。香山俊句许谁同。后来惟有南唐主，解道澄波似玉容。
鹧鸪天 其三,清末民国初,樊增祥,自送斑骓镜槛东。琐窗无意绣芙蓉。玉阶罗袜徘徊夜，铜辇秋衾寂寞中。秋后信，杳难逢。黄花时候盼归鸿。谁知今夜华清馆，露似珍珠月似弓。
双调望江南 九日归自青门,清末民国初,樊增祥,重九节，缓辔过华清。菊径红坛肩酒吏，竹梆粉屉卖糕人。风柳不胜情。官已解，丝鬓尚风尘。泠口乍移茅店月，渭城初上饼家灯。皂帽马前迎。
浪淘沙 途次闷书,清末民国初,樊增祥,花幰小窗扉。深押犀帷。梨花淡酒两三杯。又傍梅边寻梦去，梦见伊谁。新月逐人来。芳绪难裁。闷来挑耳借金钗。更有鹅茸消息子，轻转圆雷。
清平乐 平遥道中,清末民国初,樊增祥,娇云弄暖。马上春衫换。不似去年正月半。人在画乌亭畔。垂杨巷陌人家。秋千红索低斜。全是清明风景，粉墙祇欠梨花。
玉楼春 元夜旅中,清末民国初,樊增祥,陌头红杏尚娇小。三五月明灯事好。梅落还开烟九迟，柳黄未绿秋千早。莫敲画鼓损珠络，欲破黄柑思鸟爪。今夜并州似故乡，红莲烛下春愁少。
踏莎行,清末民国初,樊增祥,晓拂燕支，晚看唐韵。女儿心事莲花净。画眉墨写玉台诗，圣湖波染春衫晕。素鲤衔书，红蛛缒镜。北来消息无凭准。黄花时候盼相逢，相逢已是梨花近。
浪淘沙 燕九日宿板桥，用甲申旧韵成解,清末民国初,樊增祥,烟雪晚萋迷。山与云齐。绿螭骢子背风嘶。终日一鞭岚翠里，染透春衣。燕九唤金卮。戍鼓声迟。闲愁休上紫芝眉。十六年来春似水，红板桥西。
菩萨蛮 后院小屋三楹，窗临玉河，偶拈小令写之,清末民国初,樊增祥,圆荷小叶青如镜。游鱼吹絮波光定。轻雨绿濛濛。亭栏黯淡红。景山残照夕。罗袖当窗立。纤手上银钩。眼波无限秋。
瑞鹤仙,清末民国初,樊增祥,暖风梅豆熟。城南路、一片清阴乔木。斜街数间屋。称朱衣双引，雪珂鸣玉。盐官旧筑。记新桥、文桑尚绿。老来三懒，怕香径踏花，雨榭烧烛。前辈风流谁继，学士仙才，不殊玉局。雅邻任卜。前花市，后修竹。更藤阴残照，奇书千本，金风亭长自曝。胜吾庐、茧纸图成，卷葹小幅。
桂枝香 己亥五月初七夜，寿平招同古微、逊庵观名伶桂凤演《宛城》一剧，赋此赏之,清末民国初,樊增祥,罗衿麝袭。更海样华灯，良宵初七。筝柱十三金雁，宝鬟盈尺。南风五月清无价，况红樨、暗吹香息。晚花犹俊，秋娘未老，靓妆明逸。正荡妇、高楼倚笛。便迎归甲帐，锁春严密。一霎金戈铁马，翠钿狼籍。山眉水眼盈盈处，泪燕支、秀靥红湿。浅颦深笑，消魂无限，为伊倾国。
凤箫吟,清末民国初,樊增祥,飐桐花、么鸾最小，谁抛十斛明珠。郑樱桃再世，艳歌回雪，更腻手搓酥。舞台花乱落，效鸳鸯、模样无殊。是照水惊鸿，较他洛浦何如。扶疏。小巢芳树，惯曾留住金耳华车。紫茸茵并坐，玉莲杯共饮，花底相于。宋家红杏死，甚青衣、不负尚书。剩此夕、缠头百万，重上氍毹。
金缕曲 感怀示寿平、古微,清末民国初,樊增祥,唤起庄生蝶。且料量、陶公酒券，老坡琴帖。书记陈留非我意，老作将军揖客，便乞与、淮阳也得。潦倒刘郎骑户限，叹人生、不入还当出。休更待，鬓成雪。红榴火迫端阳节。看群儿、学鲜卑语，剪圆鹦舌。文字轻圈兼细点，换尽虫波鸟磔。算径比、终南更捷。迟锦淹花何所用，是五通、气鞠黄门妾。端祇为，我曹设。
三姝媚 盛夏小雨骤晴，北池荷花遽开三朵，翠婉红娇，倚风如笑，为赋此词,清末民国初,樊增祥,娇云含靓雨。正金明池边，润回芳础。十里风荷，绕苑墙西望，翠深银浦。绰约红衣，频问讯、韶年三五。半晌阴岑，又绮日笼金，尽收绡雾。休更怜侬心苦。看品字花开，绿幡低护。润脸融酥，照玉波如镜，晚霞娟楚。笑倚三妃，浑不似、湘天风露。愿借红房十丈，双栖翠羽。
氐州第一 感旧，用清真韵酬古微,清末民国初,樊增祥,来去韩潭，香径系马，当时芳树犹小。竹里听琴，桐阴阁盏，不信蓬山缥缈。珠字青笺，有谜语、云郎心照。十六年来，花枝历乱，看花人老。渐觉尊前芳绪少。画梁畔、歌珠萦绕。绛树三生，青宁几世，感楚人怀抱。算樱桃、花上月，曾窥见、云屏歌笑。倦不成眠，乳鸦啼、纱窗又晓。
思佳客 曾孙百朝，爽翁以词见贶，次韵奉酬,清末民国初,樊增祥,家世严州胜峡州。新词巧夺玉钩钩。句将贾岛黄金铸，情比桐江碧玉流。么凤小，锦绷柔。试啼早许冠军侯。与公俱是餐枫客，抱得曾孙尚黑头。
卜算子 其一,清末民国初,樊增祥,生长绿杨城，萧槭白杨树。枉学朝云忏六如，不伴端明住。鸾背六铢衣，亸袖禁风露。禅智山光一段云，是妾还家路。
卜算子 其二,清末民国初,樊增祥,狼籍玉台诗，悽断珠帘秀。鹦鹉愁将小字呼，替诵心经咒。响屧百弓廊，灯影书窗透。缟袂归来月下魂，苦念萧郎瘦。
卜算子 其三,清末民国初,樊增祥,月榭闲风亭，尽是伤心地。旧绣鸳鸯不忍看，宛转相回避。卧病易涞间，山学秋蛾翠。白日萧萧易水寒，都化胭脂泪。
卜算子 其四,清末民国初,樊增祥,妾貌雨中花，妾命霜前草。雨打霜欺是玉成，不使红颜老。枕角觅金钿，琴尾寻银爪。买断檀奴一世心，祇为怜娇小。
卜算子 其五,清末民国初,樊增祥,解脱有情天，即是忘忧国。生是红蚕缚茧丝，化去成仙蝶。碧玉小家娘，来侍王孙栉。月姊天孙尽妒伊，一世无亏缺。
卜算子 其六,清末民国初,樊增祥,松柏有凋时，何况章台柳。兜率天边白尚书，翻落杨枝后。两世抱衾来，此事韦郎有。再掷黄金买玉箫，郎比青山寿。
卜算子 其七,清末民国初,樊增祥,老去对花枝，奈此星星发。云样衣裳玉样人，总是明经蜡。两屦一蒲团，久作茅庵衲。扫尽人天挂碍心，秋水生明月。
卜算子 其八,清末民国初,樊增祥,夜校百行书，早卜百钱卦。尽道悬壶市里人，莫是神仙也。且枕石头眠，休忆梅庵话。红豆穿丝作念珠，提起还抛下。
彩云归,清末民国初,樊增祥,珠帘不散小春寒。傍梅花、暂卸雕鞍。金橘香几盏和醅酒，银烛下、换了朱颜。忆城东、绮裘茸帽，拥薰垆小眠。可羡北台三老，鹤氅如仙。堪怜。江州司马，七香车、载到婵娟。胜常道罢，颓玉无力，侧倚床栏。荡湘波、明眸似剪，旧恨都聚眉山。琴床畔，卿是文君，谁是文园。
霜花腴 冬至盆菊犹盛，以数枝赠伯义，媵以此词,清末民国初,樊增祥,柳条待腊，甚卷帘、西风未损寒葩。晴爱冬暄，艳含秋色，分明栗里人家。晚香愈佳。掩画屏、深贮明霞。笑髯仙、四海知名，满头霜雪一枝斜。分与意园诗老，想南窗抱膝，小侧乌纱。潭水延年，瓶花多寿，欣逢扫雪煎茶。暗添岁华。谱喜神、何独梅花。算东篱、日日重阳，酒须千斛赊。
飞雪满群山 至日早起，登北台看雪,清末民国初,樊增祥,绛鹤晨严，红麟朝爇，玉楼高不胜寒。荔香欲动，梨花方酽，凤城约略春还。北台双马耳，隔银海、凭高试看。汉宫卅六，飞琼弄玉，犹是在人间。浑不似、唐家平蔡日，又雾沈蛮峤，冰合鲸川。洛阳城里，蓬门如水，何人唤起袁安。且斟千日酒，为桥北、梅花破颜。夜来须记，瑶台月在群玉山。
临江仙 伯熙答诗有“盆梅已落菊花来”之句，再拈此词,清末民国初,樊增祥,人寿花红冬月半，寒香岁晚长留。相邀陶令过罗浮。水边篱下，彼此识荆州。高士累朝应合传，海宁新句重搜。一年佳日并春秋。野王二老，瓶拂足风流。
满庭芳,清末民国初,樊增祥,未密先疏，才眠又起，汉宫垂柳如人。慕陵九字，长共岁华新。写向黄罗扇底，南唐主、逊此风神。灵和殿、千丝万绪，犹是道光春。永丰坊里树，翻劳太史，夜奏星文。便长依玉座，徐引琴薰。太液东风似剪，拈虫叶、细数春痕。斜阳里，无肠可断，终感寿皇恩。
菩萨蛮,清末民国初,樊增祥,红帘匼匝春无缝。水仙十箭翘青凤。朝暮水沈烟。紫磨金博山。隔帘鹦鹉架。掩映春风画。一幅岁朝图。南沙红鼠姑。
情久长,清末民国初,樊增祥,月明鹤背吹笙，玉貌如天远。甚小凤、碧桐深处，重斗弦管。白杨堪作柱，尚留得、燕子楼中盼盼。杜郎老、看他定子，两世红霞，情不尽，金樽浅。越缦堂深，久当州门看。怪近日、听香读画，芳意都懒。歌楼红烛影，怎禁得、十七年来再见。试呼起、铜弦铁凤，强作花朝，花底泪，青衫满。
沁园春 其一 送次山之江南,清末民国初,樊增祥,笑脱朝衣，谢金耳车，戴笋箨冠。看焚余谏草，门生偷写，醉中笛谱，妙伎争传。轼愿为滂，贾犹悼屈，此意苍茫莫问天。春风里，有茶条七尺，拄上西山。归来收拾青编。便拟上江东范蠡船。试千回铸就，赵家如意，数言解却，方社连环。一访钟陵，再游玄墓，意在铜官离墨间。觚棱远，向吴中回首，秋柳如烟。
沁园春 其二 用前韵简爽翁,清末民国初,樊增祥,何日东归，芰荷裁衣，竹皮制冠。向凤皇城里，聊充吏隐，麒麟阁上，别以诗传。银浦仙槎，蓝花使馆，懒到玻瓈海外天。春来梦，梦蘧蘧庄蝶，到富春山。闲时检校丛编。似虹月江头书画船。命蓝田爱子，替陪朝贵，杨枝纤手，勾管嫏环。药地花红，樱天酒碧，著我迂心短李间。新来事，问草窗眼底，多少云烟。
更漏子 其一 效温飞卿,清末民国初,樊增祥,涩莺吭，黏蝶翅。雨滴梧桐雕砌。挑菜女，踏青人。闭门愁一春。金丝柳。柔荑手。玉色凤州新酒。凭一酌，散千忧。当垆眉萼秋。
更漏子 其二,清末民国初,樊增祥,绣帘低，香径湿。双燕似曾相识。堂下睇，社前来。雕梁画早梅。楼上女。黄昏雨。暗卜金钱无语。同燕去，不同归。小桃花乱飞。
更漏子 其三,清末民国初,樊增祥,小梅疏，新柳短。试较頞黄深浅。薰笃蓐，掩流苏。海棠春睡图。桐花凤。梨花梦。绣被一春寒重。红烛泪，绿蕉心。不如侬恨深。
更漏子 其四,清末民国初,樊增祥,不相逢，如相见。为有妆楼新雁。空有雁，更无书。近来和雁无。蘼芜路。香如雾。曾印凤头鞋处。春雨后，翠苔深。玉钿何处寻。
更漏子 其五,清末民国初,樊增祥,绮钱窗，棋子褥。天气乍凉还燠。焚甲馢，熨单衣。秋盆茉莉稀。香奁句，相思泪。桐叶上头题字。持画扇，扑流萤。愁看织女星。
更漏子 其六,清末民国初,樊增祥,绮兰心，春笋手。闺阁也因诗瘦。珠帔掩，玉钗斜。画裙春草纱。鸳鸯枕。茱萸锦。梦压犀株未稳。新睡觉，故情深。重调绿绮琴。
更漏子 其七,清末民国初,樊增祥,雪衣迎，黄耳吠。月照枇杷门内。骑马去，少人行。金鱼巷口灯。杯在手。香在口。金雁一行催酒。霜滑马，月窥人。今宵翠被温。
更漏子 其八,清末民国初,樊增祥,北池花，西苑柳。东府桐阴玉甃。昆池水，汉时功。莲房坠粉红。红粉女。莲心苦。留得残荷疏雨。孤枕上，小楼头。从春听到秋。
